2713, 3.2690
4734, 4.6000
5598, 4.6000
9545, 4.6000
1471, 2.7960
4533, 2.8000
7723, 4.2330
2433, 2.3450
9182, 4.2330
2238, 2.4650
3929, 4.1200
2645, 3.1420
4659, 2.6910
163, 3.1890
5040, 3.6620
6876, 2.2870
2772, 2.4330
9654, 4.6000
5893, 4.2760
332, 4.6000
3962, 4.2760
9449, 2.8950
152, 3.7820
3560, 3.5670
2571, 4.1310
3407, 4.4650
2075, 4.6000
544, 4.6000
9363, 3.2000
5625, 3.9490
9937, 3.2910
946, 4.4840
1488, 3.0220
2404, 3.6290
8499, 3.7780
5192, 3.9090
3058, 3.6870
4823, 4.6000
4077, 4.6000
5199, 3.9640
5871, 3.7160
3767, 4.1200
5398, 4.6000
9585, 3.7160
6098, 4.6000
9155, 3.9240
6335, 3.7530
6649, 2.6800
5080, 2.8070
4464, 2.0040
1760, 4.4510
6215, 2.6150
4089, 4.6000
178, 4.6000
4512, 3.2180
9495, 4.3490
242, 3.7310
9874, 4.3490
9241, 3.3050
2473, 2.1930
1225, 4.4180
1211, 4.6000
4552, 3.0730
4423, 4.6000
198, 3.5270
3333, 4.6000
2457, 4.6000
1145, 2.4070
7746, 4.2870
2405, 4.1960
6520, 4.3820
3567, 4.0000
4666, 4.6000
3059, 4.6000
1261, 4.3450
6314, 2.3450
102, 4.6000
4204, 4.0330
2342, 4.3710
3382, 3.8250
9018, 3.9160
2487, 2.3530
8042, 4.0650
7043, 4.1020
4197, 4.6000
4782, 2.4070
4563, 3.5850
2344, 4.6000
956, 4.2330
7009, 3.7750
5823, 4.6000
9653, 4.2760
436, 3.4510
9826, 4.0730
3839, 4.6000
4513, 3.5600
8337, 3.5710
8180, 4.2800
5973, 2.7160
427, 2.8760
5290, 4.6000
6767, 3.4980
2911, 4.2440
5056, 4.0440
9225, 4.2110
7325, 3.9710
876, 4.1750
1122, 3.8250
2764, 3.2330
7806, 3.6760
6069, 4.0980
3898, 4.3750
1772, 4.6000
1988, 4.6000
3191, 1.8620
6925, 3.7240
9443, 2.9050
9992, 4.6000
5923, 4.6000
2887, 4.4440
330, 3.9560
3010, 4.6000
9282, 3.9350
1610, 3.5240
9604, 4.6000
910, 2.3530
4790, 4.6000
